fold,held_out_dataset,trained_on,split,dataset,acc,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,logloss,mcc,kappa,auc_roc_macro_ovr,auc_roc_micro_ovr,auc_roc_weighted_ovr,pr_auc_macro,ppv_macro_ovr,npv_macro_ovr,ppv_weighted_ovr,npv_weighted_ovr,ppv_positive,npv_negative
fold_1,I23Sub,"K99Sub, NTD1, NTD2, WII21",VAL,I23Sub,0.9971198156682027,0.9920653734213056,0.9889551926298157,0.9905042692499139,0.9971128440237244,0.9971198156682027,0.9971152500737112,0.013645513850331891,0.981015635854346,0.9810085592760498,0.9960708490368511,0.9960708490368511,0.9960708490368511,0.9848530988888825,0.9920653734213056,0.9920653734213056,0.9971128440237244,0.9870179028188869,0.986013986013986,0.9981167608286252
fold_1,I23Sub,"K99Sub, NTD1, NTD2, WII21",TEST,I23Sub,0.9953917050691244,0.992587952813446,0.9770373969846295,0.9846607878134555,0.9953724617454752,0.9953917050691244,0.9953547528747178,0.02201408603870484,0.9695006442413825,0.9693224227068853,0.994864586628575,0.994864586628575,0.994864586628575,0.9762374228535396,0.992587952813446,0.992587952813446,0.9953724617454752,0.9898034438814168,0.989247311827957,0.9959285937989352
fold_2,K99Sub,"I23Sub, NTD1, NTD2, WII21",VAL,K99Sub,0.9700979094998677,0.9703519868314985,0.9695792945827135,0.9699352070752418,0.9701335992922706,0.9700979094998677,0.9700856190289427,0.10339818491263032,0.9399309638093912,0.9398722810296087,0.9923277104582325,0.9923277104582325,0.9923277104582325,0.9926848727764509,0.9703519868314985,0.9703519868314985,0.9701335992922706,0.9705703743707262,0.9671407552721922,0.9735632183908046
fold_2,K99Sub,"I23Sub, NTD1, NTD2, WII21",TEST,K99Sub,0.9685101878803917,0.9693977840305558,0.9675230742997799,0.968307786872913,0.9687492538921837,0.9685101878803917,0.9684786883858503,0.1060837025784479,0.9369189827503114,0.9366254397067161,0.9915401268558907,0.9915401268558907,0.9915401268558907,0.9919729260056279,0.9693977840305558,0.9693977840305558,0.9687492538921837,0.9700463141689278,0.9597868217054264,0.9790087463556851
fold_3,NTD1,"I23Sub, K99Sub, NTD2, WII21",VAL,NTD1,0.97994674202489,0.9356453090255209,0.9353926211712209,0.9355189195618591,0.9799409415099309,0.97994674202489,0.9799438333027174,0.05907868969633916,0.8710378935444039,0.8710378403484098,0.9924478099804652,0.9924478099804652,0.9924478099804652,0.9143567183599071,0.9356453090255209,0.9356453090255209,0.9799409415099309,0.8913496765411107,0.8822776711452335,0.9890129469058083
fold_3,NTD1,"I23Sub, K99Sub, NTD2, WII21",TEST,NTD1,0.9782258210604496,0.9305079560393864,0.9293426483071056,0.929924320046722,0.9781966772013463,0.9782258210604496,0.9782110663962661,0.06224322873863792,0.8598498147077294,0.8598486691038276,0.9918045545493498,0.9918045545493498,0.9918045545493498,0.9083756978945683,0.9305079560393864,0.9305079560393864,0.9781966772013463,0.8828192348774265,0.8730497969651635,0.9879661151136093
fold_4,NTD2,"I23Sub, K99Sub, NTD1, WII21",VAL,NTD2,0.9807738237401481,0.980676107738582,0.980742826489513,0.9807091139876201,0.9807758594901806,0.9807738237401481,0.980774490850999,0.07709213597657859,0.9614189319130837,0.9614182417763931,0.9953113008661696,0.9953113008661696,0.9953113008661696,0.9938321758354919,0.980676107738582,0.980676107738582,0.9807758594901806,0.9805763559869835,0.9789713706612617,0.9823808448159024
fold_4,NTD2,"I23Sub, K99Sub, NTD1, WII21",TEST,NTD2,0.9835204203486984,0.9832827583840418,0.9836881739189365,0.9834709765032845,0.9835561254325903,0.9835204203486984,0.9835238749405177,0.07099821738909204,0.9669708473150238,0.9669424371855616,0.9954231150875419,0.9954231150875419,0.9954231150875419,0.9937254057815982,0.9832827583840418,0.9832827583840418,0.9835561254325903,0.9830093913354931,0.978610971313538,0.9879545454545454
fold_5,WII21,"I23Sub, K99Sub, NTD1, NTD2",VAL,WII21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.056049017752173e-06,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fold_5,WII21,"I23Sub, K99Sub, NTD1, NTD2",TEST,WII21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.228727729947616e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
summary,global_weighted,all leave-one-dataset-out folds,VAL,global_weighted,0.9944359554876439,0.9845839600920556,0.9844755233184941,0.9845291762633248,0.9944351855123615,0.9944359554876439,0.9944350863557407,0.017382366943537838,0.9690594019675912,0.9690583817678786,0.9980047748121286,0.9980047748121286,0.9980047748121286,0.9805612471205081,0.9845839600920556,0.9845839600920556,0.9944351855123615,0.9747327346717498,0.972609964926767,0.9965579552573443
summary,global_weighted,all leave-one-dataset-out folds,TEST,global_weighted,0.9940999527996224,0.9835297086935495,0.9830416664253466,0.9832805685591836,0.9940980599187085,0.9940999527996224,0.9940958211362336,0.018033959225245796,0.9665694376328863,0.9665613206418471,0.9978378226013555,0.9978378226013555,0.9978378226013555,0.9791065617261406,0.9835297086935495,0.9835297086935495,0.9940980599187085,0.9729613574683903,0.9704939930781005,0.9965654243089983
