variant,corruption_type,target_rate,actual_rate,corrupted_cells,split,dataset,acc,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,logloss,mcc,kappa,auc_roc_macro_ovr,auc_roc_micro_ovr,auc_roc_weighted_ovr,pr_auc_macro,ppv_macro_ovr,npv_macro_ovr,ppv_weighted_ovr,npv_weighted_ovr,ppv_positive,npv_negative
numeric_missing_10,numeric_missing,0.1,0.0,0,VAL,I23Sub,0.9184907834101382,0.959186616671474,0.5086805555555556,0.4957898501752155,0.9251441172131181,0.9184907834101382,0.8808612256544027,0.10880444920371152,0.12626947273801886,0.03138751754704194,0.9954776050390843,0.9954776050390843,0.9954776050390843,0.9830606653265345,0.959186616671474,0.959186616671474,0.9251441172131181,0.9932291161298298,1.0,0.9183732333429478
numeric_missing_10,numeric_missing,0.1,0.0,0,TEST,I23Sub,0.918778801843318,0.9593073593073593,0.5121107266435986,0.5024392623670602,0.9253890119097493,0.918778801843318,0.881811626108965,0.11112402252804963,0.14916495398000912,0.04353177696631527,0.9929882692113271,0.9929882692113271,0.9929882692113271,0.9730373432795579,0.9593073593073593,0.9593073593073593,0.9253890119097493,0.9932257067049695,1.0,0.9186147186147187
numeric_missing_10,numeric_missing,0.1,0.09999338449325218,6046,VAL,K99Sub,0.9198200582164594,0.927643511617483,0.9155965138286934,0.9185603268178721,0.9246996938662926,0.9198200582164594,0.9192491586677379,0.3090467274637535,0.8431539659864888,0.8376445466281848,0.9780893030302519,0.9780893030302519,0.9780893030302519,0.9763385653016465,0.927643511617483,0.927643511617483,0.9246996938662926,0.9305873293686734,0.8843567906768265,0.9709302325581395
numeric_missing_10,numeric_missing,0.1,0.09751256946282086,5896,TEST,K99Sub,0.921672400105848,0.9305659687034493,0.9172243084744485,0.9203716063838027,0.9273762922022,0.921672400105848,0.9210583608333298,0.3101553849230745,0.8476852919449002,0.8413303813685784,0.9779848022793767,0.9779848022793767,0.9779848022793767,0.9740929243267619,0.9305659687034493,0.9305659687034493,0.9273762922022,0.9337556452046987,0.8832962138084632,0.9778357235984355
numeric_missing_10,numeric_missing,0.1,0.1000463225342308,38660,VAL,NTD1,0.9526475010416101,0.9331300360894643,0.7429971636169903,0.8062087668346487,0.9509601771849159,0.9526475010416101,0.9460315597291569,0.1647730250218616,0.6488431867471971,0.6148487061984838,0.9777760819801002,0.9777760819801002,0.9777760819801002,0.7995886511050817,0.9331300360894643,0.9331300360894643,0.9509601771849159,0.915299894994013,0.911648177496038,0.9546118946828908
numeric_missing_10,numeric_missing,0.1,0.09917162887110173,38322,TEST,NTD1,0.9514700288027824,0.9341145148025256,0.7344832801314088,0.7988728325478807,0.9499072018385283,0.9514700288027824,0.9442755806722222,0.17140207204093888,0.6380990374026629,0.6005376574739518,0.9768137151069743,0.9768137151069743,0.9768137151069743,0.7946964854283457,0.9341145148025256,0.9341145148025256,0.9499072018385283,0.9183218277665229,0.9150865622423743,0.9531424673626769
numeric_missing_10,numeric_missing,0.1,0.09869835204203486,6612,VAL,NTD2,0.7940052543587294,0.8460201563409667,0.7823242979887063,0.780804803264225,0.8389794651886749,0.7940052543587294,0.7839523560799462,0.579600985793487,0.6251076634593623,0.5773186850589603,0.9211102159104856,0.9211102159104856,0.9211102159104856,0.9203311265027087,0.8460201563409667,0.8460201563409667,0.8389794651886749,0.8530608474932585,0.9663441312578881,0.7256961814240454
numeric_missing_10,numeric_missing,0.1,0.1009971339861476,6766,TEST,NTD2,0.7923334129448293,0.846366927578913,0.7804363633699473,0.7786085825500602,0.8391722476412224,0.7923334129448293,0.7818340822591425,0.5817137140664206,0.6233261796582982,0.5737048620537655,0.9179006583731252,0.9179006583731252,0.9179006583731252,0.9166226200371723,0.846366927578913,0.846366927578913,0.8391722476412224,0.8535616075166035,0.9693225394120153,0.7234113157458105
numeric_missing_10,numeric_missing,0.1,0.10003118957020772,304684,VAL,WII21,0.9999888374169783,0.9999939802189997,0.9999233892591741,0.9999586817861402,0.999988837551371,0.9999888374169783,0.9999888370229569,7.178718272979105e-05,0.999917366986426,0.9999173635723186,1.0,1.0,1.0,1.0,0.9999939802189997,0.9999939802189997,0.999988837551371,0.9999991228866284,0.9999879604379993,1.0
numeric_missing_10,numeric_missing,0.1,0.10038248262412629,305754,TEST,WII21,0.9999888374169783,0.9999939802552371,0.9999233833895189,0.9999586788689818,0.99998883755137,0.9999888374169783,0.9999888370229241,8.314936452791501e-05,0.9999173611525912,0.9999173577380018,1.0,1.0,1.0,1.0,0.9999939802552371,0.9999939802552371,0.99998883755137,0.9999991229591043,0.9999879605104743,1.0
