variant,target_label_noise_rate,actual_label_noise_rate,split,dataset,noisy_train_labels,acc,prec_macro,rec_macro,f1_macro,logloss,mcc,kappa,auc_roc_macro,pr_auc,prec_weighted,rec_weighted,f1_weighted,auc_roc_micro,auc_roc_weighted,ppv_macro,npv_macro,ppv_weighted,npv_weighted,ppv_positive,npv_negative
label_noise_05,0.0500,0.0500,VAL,I23Sub,810,0.9378,0.9682,0.6250,0.6836,0.3104,0.4839,0.3794,0.9973,0.9875,0.9417,0.9378,0.9201,0.9973,0.9973,0.9682,0.9682,0.9417,0.9947,1.0000,0.9365
label_noise_05,0.0500,0.0500,TEST,I23Sub,810,0.9352,0.9670,0.6107,0.6642,0.3088,0.4548,0.3428,0.9956,0.9784,0.9395,0.9352,0.9156,0.9956,0.9956,0.9670,0.9670,0.9395,0.9945,1.0000,0.9340
label_noise_05,0.0500,0.0500,VAL,K99Sub,882,0.9177,0.9191,0.9207,0.9177,0.5674,0.8398,0.8357,0.9742,0.9707,0.9223,0.9177,0.9178,0.9742,0.9742,0.9191,0.9191,0.9223,0.9159,0.9656,0.8726
label_noise_05,0.0500,0.0500,TEST,K99Sub,882,0.9116,0.9135,0.9148,0.9116,0.5667,0.8283,0.8237,0.9744,0.9705,0.9169,0.9116,0.9117,0.9744,0.9744,0.9135,0.9135,0.9169,0.9102,0.9631,0.8639
label_noise_05,0.0500,0.0500,VAL,NTD1,12881,0.9665,0.9409,0.8328,0.8776,0.1195,0.7660,0.7557,0.9887,0.8965,0.9652,0.9665,0.9642,0.9887,0.9887,0.9409,0.9409,0.9652,0.9165,0.9115,0.9702
label_noise_05,0.0500,0.0500,TEST,NTD1,12881,0.9636,0.9365,0.8161,0.8646,0.1234,0.7429,0.7299,0.9886,0.8907,0.9621,0.9636,0.9607,0.9886,0.9886,0.9365,0.9365,0.9621,0.9109,0.9057,0.9673
label_noise_05,0.0500,0.0500,VAL,NTD2,1954,0.8309,0.8639,0.8219,0.8238,0.6124,0.6846,0.6549,0.9323,0.9226,0.8583,0.8309,0.8258,0.9323,0.9323,0.8639,0.8639,0.8583,0.8696,0.9599,0.7679
label_noise_05,0.0500,0.0500,TEST,NTD2,1954,0.8248,0.8628,0.8152,0.8165,0.6130,0.6763,0.6420,0.9334,0.9275,0.8567,0.8248,0.8188,0.9334,0.9334,0.8628,0.8628,0.8567,0.8689,0.9665,0.7591
label_noise_05,0.0500,0.0500,VAL,WII21,41806,0.9995,0.9996,0.9969,0.9982,0.0242,0.9965,0.9965,1.0000,1.0000,0.9995,0.9995,0.9995,1.0000,1.0000,0.9996,0.9996,0.9995,0.9996,0.9995,0.9996
label_noise_05,0.0500,0.0500,TEST,WII21,41806,0.9996,0.9997,0.9977,0.9987,0.0241,0.9973,0.9973,1.0000,1.0000,0.9996,0.9996,0.9996,1.0000,1.0000,0.9997,0.9997,0.9996,0.9997,0.9996,0.9997
label_noise_05,0.0500,0.0500,VAL,global_weighted,58333,0.9845,0.9804,0.9485,0.9602,0.0772,0.9257,0.9209,0.9948,0.9739,0.9853,0.9845,0.9836,0.9948,0.9948,0.9804,0.9804,0.9853,0.9756,0.9782,0.9826
label_noise_05,0.0500,0.0500,TEST,global_weighted,58333,0.9836,0.9794,0.9448,0.9570,0.0779,0.9203,0.9146,0.9948,0.9727,0.9845,0.9836,0.9825,0.9948,0.9948,0.9794,0.9794,0.9845,0.9743,0.9772,0.9815
label_noise_10,0.1000,0.1000,VAL,I23Sub,1620,0.9171,0.4585,0.5000,0.4784,0.3874,0.0000,0.0000,0.9290,0.7707,0.8410,0.9171,0.8774,0.9290,0.9290,0.4585,0.4585,0.8410,0.0761,0.0000,0.9171
label_noise_10,0.1000,0.1000,TEST,I23Sub,1620,0.9168,0.4584,0.5000,0.4783,0.3865,0.0000,0.0000,0.9167,0.7208,0.8405,0.9168,0.8770,0.9167,0.9167,0.4584,0.4584,0.8405,0.0763,0.0000,0.9168
label_noise_10,0.1000,0.1000,VAL,K99Sub,1763,0.8566,0.8935,0.8462,0.8499,0.4958,0.7382,0.7061,0.9808,0.9715,0.8864,0.8566,0.8521,0.9808,0.9808,0.8935,0.8935,0.8864,0.9007,0.7887,0.9984
label_noise_10,0.1000,0.1000,TEST,K99Sub,1763,0.8611,0.8967,0.8510,0.8549,0.4955,0.7464,0.7155,0.9791,0.9711,0.8898,0.8611,0.8569,0.9791,0.9791,0.8967,0.8967,0.8898,0.9037,0.7935,1.0000
label_noise_10,0.1000,0.1000,VAL,NTD1,25761,0.9150,0.4575,0.5000,0.4778,0.1873,0.0000,0.0000,0.9442,0.8559,0.8372,0.9150,0.8744,0.9442,0.9442,0.4575,0.4575,0.8372,0.0778,0.0000,0.9150
label_noise_10,0.1000,0.1000,TEST,NTD1,25761,0.9150,0.4575,0.5000,0.4778,0.1934,0.0000,0.0000,0.9430,0.8461,0.8372,0.9150,0.8744,0.9430,0.9430,0.4575,0.4575,0.8372,0.0778,0.0000,0.9150
