variant,target_label_noise_rate,actual_label_noise_rate,noisy_train_labels,split,dataset,acc,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,logloss,mcc,kappa,auc_roc_macro_ovr,auc_roc_micro_ovr,auc_roc_weighted_ovr,pr_auc_macro,ppv_macro_ovr,npv_macro_ovr,ppv_weighted_ovr,npv_weighted_ovr,ppv_positive,npv_negative
label_noise_05,0.05,0.0499969137707548,810,VAL,I23Sub,0.9377880184331796,0.9682352941176472,0.625,0.6835965978128797,0.9417403090268366,0.9377880184331796,0.920144912117632,0.3104320629566818,0.4838570522983245,0.3794089609151573,0.997276966429369,0.997276966429369,0.997276966429369,0.9875140109355856,0.9682352941176472,0.9682352941176472,0.9417403090268366,0.9947302792084576,1.0,0.9364705882352942
label_noise_05,0.05,0.0499969137707548,810,TEST,I23Sub,0.9351958525345622,0.9669894366197184,0.610726643598616,0.6642343860608272,0.9394742953689882,0.9351958525345622,0.915649097178169,0.3087631699002744,0.4547886230455198,0.3427694544279771,0.9955548888069948,0.9955548888069948,0.9955548888069948,0.9783724493129472,0.9669894366197184,0.9669894366197184,0.9394742953689882,0.9945045778704484,1.0,0.9339788732394366
label_noise_05,0.05,0.050017012589316,882,VAL,K99Sub,0.917703096057158,0.9190946050734816,0.9206654589106896,0.9176732111173588,0.9222593645176864,0.917703096057158,0.9177798837496978,0.567386748662101,0.839758594764544,0.8357402248320427,0.9741787287496012,0.9741787287496012,0.9741787287496012,0.9706833670916036,0.9190946050734816,0.9190946050734816,0.9222593645176864,0.9159298456292766,0.9656301145662848,0.8725590955806783
label_noise_05,0.05,0.050017012589316,882,TEST,K99Sub,0.9116168298491664,0.9135202025047168,0.9148001071482637,0.9115981043599386,0.9168675130368916,0.9116168298491664,0.911684922537268,0.5667236272661405,0.8283193208103458,0.8236901493914994,0.9744141314153194,0.9744141314153194,0.9744141314153194,0.9705243639659108,0.9135202025047168,0.9135202025047168,0.9168675130368916,0.910172891972542,0.9631260319207484,0.863914373088685
label_noise_05,0.05,0.0500017468198174,12881,VAL,NTD1,0.9665416734597756,0.9408519329989532,0.8327552705467767,0.8776420448664823,0.9652276338454072,0.9665416734597756,0.9642083746687544,0.1195106427953167,0.7660177654235865,0.7557311896274798,0.9887265952705044,0.9887265952705044,0.9887265952705044,0.8964705477157121,0.9408519329989532,0.9408519329989532,0.9652276338454072,0.9164762321524994,0.9114839456175876,0.9702199203803192
label_noise_05,0.05,0.0500017468198174,12881,TEST,NTD1,0.963607050341467,0.9364912733634664,0.8161103094061708,0.8646441019978699,0.9620611491286104,0.963607050341467,0.960703281783866,0.1233778749499899,0.7429115464872488,0.7299205076955899,0.9885597419848338,0.9885597419848338,0.9885597419848338,0.8906573765105283,0.9364912733634664,0.9364912733634664,0.9620611491286104,0.9109213975983228,0.905683192261185,0.967299354465748
label_noise_05,0.05,0.0500025589845949,1954,VAL,NTD2,0.8309051827083831,0.8639438588971695,0.821938299384395,0.8237610223824516,0.8583265961169803,0.8309051827083831,0.8258373204605693,0.612377249350412,0.6845946742555014,0.6548598072735681,0.9323249505006712,0.9323249505006712,0.9323249505006712,0.9225558016973444,0.8639438588971695,0.8639438588971695,0.8583265961169803,0.8695611216773588,0.9599417334304444,0.7679459843638948
label_noise_05,0.05,0.0500025589845949,1954,TEST,NTD2,0.8248149032720324,0.8627930453484965,0.815175012867078,0.8165347215652077,0.8567274359555802,0.8248149032720324,0.8188153786963737,0.6129780325498174,0.6762937312611993,0.6419539940772266,0.933443207190178,0.933443207190178,0.933443207190178,0.9275366146403344,0.8627930453484965,0.8627930453484965,0.8567274359555802,0.8688586547414129,0.9664530719939692,0.759133018703024
label_noise_05,0.05,0.0499997608010295,41806,VAL,WII21,0.9995255902215772,0.9995666808399958,0.9969205207332736,0.998239438243648,0.9995256304502296,0.9995255902215772,0.9995249603271784,0.0242479146019801,0.9964836881434714,0.9964788787769532,0.9999937744578196,0.9999937744578196,0.9999937744578196,0.9999995068231076,0.9995666808399958,0.9995666808399958,0.9995256304502296,0.999607731229762,0.9995186290555502,0.9996147326244412
label_noise_05,0.05,0.0499997608010295,41806,TEST,WII21,0.9996372160517945,0.9996625532045196,0.997651153745848,0.99865445028788,0.999637234908273,0.9996372160517945,0.9996368502174746,0.0241029850120156,0.9973116786357722,0.9973089015859438,0.999980409765768,0.999980409765768,0.999980409765768,0.9999984402554342,0.9996625532045196,0.9996625532045196,0.999637234908273,0.9996878715007662,0.9996329171054612,0.9996921893035784
label_noise_05,0.05,0.0500005142939429,58333,VAL,global_weighted,0.984499875999008,0.9804072384242968,0.948491367883114,0.9601778542497472,0.9852520247612891,0.984499875999008,0.9835705769076518,0.0771680837658968,0.925658030571263,0.9208758302847184,0.9948112184385688,0.9948112184385688,0.9948112184385688,0.9739282660527994,0.9804072384242968,0.9804072384242968,0.9852520247612891,0.975562452087304,0.978248103170838,0.9825663736777556
